,cena mieszkania,metrarz mieszkania,oplaty,komunikacja miejsca,odległość do marketu,odległość do piekarni,ocena ruchu w okolicy,głośność okolicy,odległość do parku,bezpieczeństwo okolicy,ocena widoku z okna,umeblowanie,garaż,winda,ilość pokoi,rok budowy,klimatyzacja,il. kondygnacji,prędkość internetu kablowego
M1,260000,36.5,450,7,9,4,2,9,3,5,10,True,True,True,7,2004,False,3,200
M2,600000,60,500,3,5,4,8,2,6,7,9,False,False,True,5,2012,False,12,300
M3,180000,20,666,9,8,2,3,4,6,7,8,True,False,False,6,2021,False,5,600
M4,990000,70,420,6,8,7,3,5,6,7,7,False,True,False,4,2010,True,7,1200
M5,350000,40,500,2,10,7,5,4,3,9,1,True,True,True,3,2021,True,15,500
M6,1200000,70,350,9,1,6,8,2,6,5,5,False,False,True,5,2015,True,4,700
M7,200000,20,750,1,5,3,4,7,4,1,6,False,True,False,2,1997,False,3,200
M8,300000,35,440,3,5,7,10,9,7,9,5,True,True,True,4,2012,True,6,500
M9,920000,55,580,3,6,4,8,4,6,4,4,True,True,False,3,2000,False,2,600
M10,1210000,70,700,5,8,2,3,3,5,2,9,False,True,True,4,2010,True,7,600
M11,58000,57,550,5,10,7,6,7,6,2,5,True,True,False,3,2008,False,3,300
M12,450000,50,500,8,5,7,7,3,6,1,5,True,True,True,3,2012,False,12,500
M13,200000,55,580,1,7,3,4,7,9,4,9,False,True,False,3,1956,True,3,200
M14,700000,70,700,2,1,1,9,9,5,5,7,False,False,True,4,1999,True,1,300
M15,190000,20,300,5,2,9,4,9,1,1,6,False,True,True,2,2001,True,4,400
M16,450000,50,1000,7,8,4,2,9,9,9,0,True,False,True,8,2021,False,10,1000
M17,1860000,90,800,5,9,2,3,8,8,7,9,False,True,True,3,2014,True,15,500
M18,1500000,82,700,6,7,3,1,4,5,7,8,False,False,True,3,2017,False,10,300
M19,500000,61,900,7,5,1,5,6,7,8,7,True,True,True,4,1998,False,8,1500
M20,380000,54,1000,8,4,1,8,7,9,9,6,True,True,False,5,1986,True,2,800
,,,,,,,,,,,,,,,,,,,
"# W razie chęci wykorzytania dodatkowo punktów status quo (fuzzy topsis) należy wpisać tą grupę pod spodem nadając nazwy zaczynające się od A0 np.(A00, A01, A02, …)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# W razie chęci wykorzytania dodatkowo punktów docelowych (fuzzy topsis) należy wpisać tą grupę pod spodem nadając nazwy zaczynające się od A1 np.(A10, A11, A12, …)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WEIGHTS,1.5,1.5,1.2,1.1,1,1,1,1,0.8,1,1,1,1,1,1.2,0.7,1,0.7,1
MAX MIN,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
TYPE,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,BOOL,BOOL,BOOL,INT,INT,BOOL,INT,INT
CONSIDER,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UTA_DATA,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
